~0~Image	ROI Size	Object Count	Density
C8T5_A.czi	2932386.16	13	4.4332
C3T1_B.czi	2094841.42	27	12.8888
C8T1_A.czi	1700813.17	25	14.6989
C8T4_B.czi	2255703.93	13	5.7632
C8T3_A.czi	2472737.17	11	4.4485
C5T3_A.czi	1422823.69	15	10.5424
C8T1_B.czi	2884990.4	53	18.3709
C1T2_B.czi	2314822.43	29	12.528
C1T2_A.czi	1799698.87	31	17.2251
C8T4_A.czi	2591342.91	37	14.2783
C3T1_A.czi	2563503.85	15	5.8514
C8T2_B.czi	2600962.96	6	2.3068
C5T4_B.czi	1917909.79	14	7.2996
C1T1_B.czi	2045485.91	22	10.7554
C8T3_B.czi	2119995.61	5	2.3585
C8T5_B.czi	2149234.19	25	11.6321
C5T2_A.czi	2016953.79	12	5.9496
C1T1_A.czi	975566.815	21	21.5259
C8T2_A.czi	1496159.46	17	11.3624
C3T1_NoGal3.czi	1791340.86	0	0
C5T3_B.czi	2192459.6	23	10.4905
C5T4_A.czi	2138268	27	12.627
C5T2_B.czi	2334952.95	14	5.9958
